ticker,name,annual_return,original_annual_return,volatility,sharpe_ratio,current_price,avg_daily_value_rub,category,data_quality,investfunds_url,mgmt_fee,total_fee,nav_billions,return_1m,return_3m,return_6m,return_12m,return_36m,return_60m,bid_price,ask_price,volume_rub,depositary_name,management_fee,depositary_fee,other_expenses,total_expenses
LQDT,Ликвидность,21.83,21.83,4.18,1.633,1.77,11612539345,Денежный рынок,1.0,https://investfunds.ru/funds/5973/,0.21,0.293,392.214,1.64,4.95,10.45,21.83,51.27,72.78,1.78,1.78,11612539345,елок обратного,0.21,0.0,0.083,0.293
AKAI,Альфа-Капитал Антиинфляционный,-1.36,0.0,12.82,-1.277,111.95,51360,Альфа-Капитал,1.0,https://investfunds.ru/funds/11231/,2.0,2.2,0.022,3.72,9.65,-0.68,0.0,0.0,0.0,111.05,111.5,51360,"елок,",2.0,0.0,0.2,2.2
AKBC,Альфа-Капитал Индекс голубых фишек МосБиржи,36.4,0.0,40.0,0.535,104.03,4565893,Альфа-Капитал,1.0,https://investfunds.ru/funds/11995/,1.0,1.25,0.049,5.95,9.1,0.0,0.0,0.0,0.0,101.7,102.4,4565893,"елок,",1.0,0.0,0.25,1.25
AKFB,Альфа-Капитал Облигации с переменным купоном,26.72,0.0,12.0,0.977,119.03,223952165,Альфа-Капитал,1.0,https://investfunds.ru/funds/11259/,1.5,1.7,26.889,2.45,7.45,13.36,0.0,0.0,0.0,119.49,119.5,223952165,"елок,",1.5,0.0,0.2,1.7
AKGD,Альфа-Капитал Золото,18.76,18.76,24.38,0.154,194.99,32116334,Альфа-Капитал,1.0,https://investfunds.ru/funds/7589/,1.0,1.4,11.391,2.24,0.24,1.74,18.76,150.61,0.0,195.02,195.2,32116334,"елок,",1.0,0.0,0.4,1.4
AKGP,Альфа-Капитал Золото Плюс,23.16,0.0,25.0,0.326,1.01,4468,Альфа-Капитал,1.0,https://investfunds.ru/funds/12165/,3.5,3.6,0.026,1.93,0.0,0.0,0.0,0.0,0.0,1.02,1.02,4468,"елок,",3.5,0.0,0.1,3.6
AKHT,Альфа-Капитал ИТ Лидеры,-3.66,0.0,22.93,-0.814,107.1,585821,Альфа-Капитал,1.0,https://investfunds.ru/funds/11353/,2.0,2.2,0.488,5.07,14.89,-1.83,0.0,0.0,0.0,105.8,106.29,585821,"елок,",2.0,0.0,0.2,2.2
AKIE,Альфа-Капитал Управляемые акции с выплатой дохода,-5.94,0.0,24.75,-0.846,1096.02,1497380,Альфа-Капитал,1.0,https://investfunds.ru/funds/11109/,2.1,2.3,0.448,4.72,10.4,-2.97,0.0,0.0,0.0,1080.0,1082.05,1497380,"елок,",2.1,0.0,0.2,2.3
AKME,Альфа-Капитал Управляемые акции,20.36,20.36,36.29,0.148,203.95,74757650,Альфа-Капитал,1.0,https://investfunds.ru/funds/6575/,2.0,2.2,20.014,4.68,12.4,-1.71,20.36,155.04,0.0,200.94,201.16,74757650,"елок,",2.0,0.0,0.2,2.2
AKMB,Альфа-Капитал Управляемые облигации,30.67,30.67,12.0,1.306,1.8,640805921,Альфа-Капитал,1.0,https://investfunds.ru/funds/6225/,1.5,1.7,29.928,3.82,9.51,16.88,30.67,53.7,75.53,1.8,1.8,640805921,"елок,",1.5,0.0,0.2,1.7
AKMM,Альфа-Капитал Денежный рынок,21.44,21.44,37.15,0.173,151.62,5876300684,Альфа-Капитал,1.0,https://investfunds.ru/funds/8181/,0.5,0.64,216.708,1.6,4.85,10.23,21.44,50.54,0.0,151.78,151.79,5876300684,"елок,",0.5,0.0,0.14,0.64
AKMP,Альфа-Капитал Денежный рынок Плюс,18.6,0.0,34.88,0.103,1.09,505818340,Альфа-Капитал,1.0,https://investfunds.ru/funds/11869/,1.5,1.64,11.594,1.5,4.51,9.3,0.0,0.0,0.0,1.09,1.09,505818340,елок обратного,1.5,0.0,0.14,1.64
AKPP,Альфа-Капитал Платина - Палладий,81.0,0.0,40.0,1.65,113.48,243081,Альфа-Капитал,1.0,https://investfunds.ru/funds/11855/,1.0,1.4,0.223,-3.61,20.25,0.0,0.0,0.0,0.0,112.8,113.4,243081,"елок,",1.0,0.0,0.4,1.4
AKQU,Альфа-Капитал Квант,10.82,10.82,28.66,-0.146,79.54,215102,Альфа-Капитал,1.0,https://investfunds.ru/funds/7311/,3.0,3.5,0.518,4.67,9.85,-7.21,10.82,47.53,0.0,78.0,78.03,215102,"елок,",3.0,0.0,0.5,3.5
AKUP,Альфа-Капитал Умный портфель,24.43,24.43,39.54,0.238,12.56,795303,Альфа-Капитал,1.0,https://investfunds.ru/funds/10079/,1.2,2.2,0.448,3.01,9.82,5.2,24.43,0.0,0.0,12.4,12.42,795303,елкам,1.2,0.0,1.0,2.2
AMGL,АТОН – Накопительный в золоте,27.0,0.0,25.0,0.48,102.81,28273,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12445/,0.5,1.25,0.471,2.25,0.0,0.0,0.0,0.0,0.0,103.2,103.7,28273,Спецрегистратор,0.5,0.0,0.75,1.25
AMNR,АТОН – Накопительный в рублях,21.86,21.86,4.19,1.639,133.51,87365580,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/10053/,0.105,0.285,45.398,1.64,4.94,10.43,21.86,0.0,0.0,133.63,133.64,87365580,Спецрегистратор,0.105,0.0,0.18,0.285
AMNY,АТОН – Накопительный в юанях,-2.81,-2.81,9.12,-1.952,104.86,66085278,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/10613/,0.1,0.35,2.934,2.72,0.54,-9.64,-2.81,0.0,0.0,1170.44,1171.25,66085278,Спецрегистратор,0.1,0.0,0.25,0.35
AMFL,АТОН – Флоатеры,29.42,0.0,12.0,1.202,117.34,3337953,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11703/,0.5,0.6,1.228,2.43,7.82,14.71,0.0,0.0,0.0,117.5,117.6,3337953,Спецрегистратор,0.5,0.0,0.1,0.6
AMGB,АТОН – Длинные ОФЗ,43.62,0.0,12.0,2.385,125.08,15056,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11705/,0.6,0.7,1.278,3.75,16.96,21.81,0.0,0.0,0.0,124.8,125.0,15056,Спецрегистратор,0.6,0.0,0.1,0.7
AMRE,АТОН – Российские акции +,19.12,19.12,35.3,0.117,118.26,588412,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6809/,0.8,0.85,0.471,3.97,10.98,-0.96,19.12,63.89,0.0,116.4,116.8,588412,Спецрегистратор,0.8,0.0,0.05,0.85
AMRH,АТОН - Высокодоходные российские облигации,18.8,18.8,10.64,0.357,143.08,584223,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7161/,0.8,0.85,0.083,1.8,7.02,12.56,18.8,43.17,0.0,143.1,143.4,584223,Спецрегистратор,0.8,0.0,0.05,0.85
SBBC,Первая – Фонд Голубые фишки,36.12,0.0,12.0,1.76,10.73,5527400,Сбербанк,1.0,https://investfunds.ru/funds/12049/,0.8,1.0,0.076,5.99,9.03,0.0,0.0,0.0,0.0,10.53,10.54,5527400,"елок,",0.8,0.0,0.2,1.0
SBBY,Первая – Фонд Инструменты в юанях,6.47,6.47,10.59,-0.806,10.3,2752199,Сбербанк,1.0,https://investfunds.ru/funds/9111/,0.3,0.58,0.415,3.4,2.06,-3.27,6.47,0.0,0.0,10.31,10.34,2752199,"елок,",0.3,0.0,0.28,0.58
SBCB,Первая – Фонд Валютных Облигаций,6.56,6.56,6.97,-1.211,1385.41,58116736,Сбербанк,1.0,https://investfunds.ru/funds/5395/,0.6,0.8,4.733,4.63,2.65,-1.79,6.56,0.0,10.56,1410.0,1410.5,58116736,"елок,",0.6,0.0,0.2,0.8
SBCN,Первая - Фонд Сберегательный в юанях,-4.11,-4.11,9.64,-1.982,11.92,3533242,Сбербанк,1.0,https://investfunds.ru/funds/8630/,0.3,0.6,1.475,2.55,0.26,-10.04,-4.11,0.0,0.0,11.9,11.9,3533242,"елок,",0.3,0.0,0.3,0.6
SBCS,Первая - Фонд Консервативный смарт,20.23,20.23,24.14,0.217,15.65,17493302,Сбербанк,1.0,https://investfunds.ru/funds/7007/,0.85,1.08,1.54,1.57,4.85,10.09,20.23,41.79,0.0,15.66,15.66,17493302,"елок,",0.85,0.0,0.23,1.08
SBDS,Первая - Фонд Моя цель 2045,15.14,15.14,21.08,0.007,3.54,73496,Сбербанк,1.0,https://investfunds.ru/funds/7001/,1.0,1.8,0.064,5.15,8.45,-1.19,15.14,0.0,0.0,3.49,3.5,73496,елки РЕПО,1.0,0.0,0.8,1.8
SBFR,Первая – Фонд Облигации с переменным купоном,20.37,20.37,11.11,0.483,13.14,32979848,Сбербанк,1.0,https://investfunds.ru/funds/10113/,0.6,0.74,2.239,1.94,6.71,12.41,20.37,0.0,0.0,13.15,13.16,32979848,"елок,",0.6,0.0,0.14,0.74
SBGB,Первая - Фонд Государственные облигации,29.12,29.12,12.0,1.177,14.59,11428853,Сбербанк,1.0,https://investfunds.ru/funds/5393/,0.6,0.75,2.787,3.18,12.84,17.66,29.12,18.23,18.08,14.54,14.57,11428853,"елок,",0.6,0.0,0.15,0.75
SBGD,Первая - Фонд Доступное золото,19.01,19.01,24.51,0.164,25.28,7608413,Сбербанк,1.0,https://investfunds.ru/funds/8293/,0.35,1.25,3.63,2.26,0.28,1.79,19.01,0.0,0.0,25.51,25.52,7608413,"елок,",0.35,0.0,0.9,1.25
