Тип актива,Подкатегория,География,Тикер,Название,УК,ISIN,URL
Деньги,Рубли,Россия,LQDT,"Ликвидность (ВИМ Инвестиции), 3915, LQDT",Парсинг,,https://investfunds.ru/funds/5973/
Облигации,Госбонды,Россия,AKAI,"Альфа-Капитал Антиинфляционный (Альфа-Капитал), 6527, AKAI",Парсинг,,https://investfunds.ru/funds/11231/
Акции,Российские Акции,Россия,AKBC,"Альфа-Капитал Индекс голубых фишек МосБиржи (Альфа-Капитал), 6911, AKBC",Парсинг,,https://investfunds.ru/funds/11995/
Облигации,Госбонды,Россия,AKFB,"Альфа-Капитал Облигации с переменным купоном (Альфа-Капитал), 6541, AKFB",Парсинг,,https://investfunds.ru/funds/11259/
Сырье,Золото,Россия,AKGD,"Альфа-Капитал Золото (Альфа-Капитал), 4713, AKGD",Парсинг,,https://investfunds.ru/funds/7589/
Сырье,Золото,Россия,AKGP,"Альфа-Капитал Управляемые валютные облигации (Альфа-Капитал), 6996, AKGP",Парсинг,,https://investfunds.ru/funds/12165/
Акции,Российские Акции,Россия,AKHT,"Альфа-Капитал ИТ Лидеры (Альфа-Капитал), 6580, AKHT",Парсинг,,https://investfunds.ru/funds/11353/
Акции,Российские Акции,Россия,AKIE,"Альфа-Капитал Управляемые акции с выплатой дохода (Альфа-Капитал), 6467, AKIE",Парсинг,,https://investfunds.ru/funds/11109/
Акции,Российские Акции,Россия,AKME,"Альфа-Капитал Управляемые акции (Альфа-Капитал), 4213, AKME",Парсинг,,https://investfunds.ru/funds/6575/
Облигации,Госбонды,Россия,AKMB,"Альфа-Капитал Управляемые облигации (Альфа-Капитал), 4039, AKMB",Парсинг,,https://investfunds.ru/funds/6225/
Деньги,Рубли,Россия,AKMM,"Альфа-Капитал Денежный рынок (Альфа-Капитал), 5012, AKMM",Парсинг,,https://investfunds.ru/funds/8181/
Деньги,Рубли,Россия,AKMP,"Альфа-Капитал Денежный рынок Плюс (Альфа-Капитал), 6848, AKMP",Парсинг,,https://investfunds.ru/funds/11869/
Сырье,Золото,Россия,AKPP,"Альфа-Капитал Платина - Палладий (Альфа-Капитал), 6838, AKPP",Парсинг,,https://investfunds.ru/funds/11855/
Акции,Российские Акции,Россия,AKQU,"Альфа-Капитал Квант (Альфа-Капитал), 4580, AKQU",Парсинг,,https://investfunds.ru/funds/7311/
Смешанные,Сбалансированные,Россия,AKUP,"Альфа-Капитал Умный портфель (Альфа-Капитал), 5955, AKUP",Парсинг,,https://investfunds.ru/funds/10079/
Сырье,Золото,Россия,AMGL,"АТОН – Накопительный в золоте (Атон-менеджмент), 7136, AMGL",Парсинг,,https://investfunds.ru/funds/12445/
Деньги,Рубли,Россия,AMNR,"АТОН – Накопительный в рублях (Атон-менеджмент), 5936, AMNR",Парсинг,,https://investfunds.ru/funds/10053/
Деньги,Рубли,Россия,AMNY,"АТОН – Накопительный в юанях (Атон-менеджмент), 6221, AMNY",Парсинг,,https://investfunds.ru/funds/10613/
Облигации,Госбонды,Россия,AMFL,"АТОН – Флоатеры (Атон-менеджмент), 6763, AMFL",Парсинг,,https://investfunds.ru/funds/11703/
Облигации,Госбонды,Россия,AMGB,"АТОН – Длинные ОФЗ (Атон-менеджмент), 6764, AMGB",Парсинг,,https://investfunds.ru/funds/11705/
Акции,Российские Акции,Россия,AMRE,"АТОН – Российские акции + (Атон-менеджмент), 4330, AMRE",Парсинг,,https://investfunds.ru/funds/6809/
Облигации,Госбонды,Россия,AMRH,"АТОН - Высокодоходные российские облигации (Атон-менеджмент), 4506, AMRH",Парсинг,,https://investfunds.ru/funds/7161/
Акции,Российские Акции,Россия,SBBC,"Первая – Фонд Голубые фишки (Первая), 6938, SBBC",Парсинг,,https://investfunds.ru/funds/12049/
Облигации,Госбонды,Россия,SBBY,"Первая – Фонд Инструменты в юанях (Первая), 5472, SBBY",Парсинг,,https://investfunds.ru/funds/9111/
Облигации,Госбонды,Россия,SBCB,"Первая – Фонд Валютных Облигаций (Первая), 3636, SBCB",Парсинг,,https://investfunds.ru/funds/5395/
Деньги,Рубли,Россия,SBCN,"Первая - Фонд Сберегательный в юанях (Первая), 5230, SBCN",Парсинг,,https://investfunds.ru/funds/8630/
Деньги,Рубли,Россия,SBCS,"Первая - Фонд Консервативный смарт (Первая), 4431, SBCS",Парсинг,,https://investfunds.ru/funds/7007/
Смешанные,Сбалансированные,Россия,SBDS,"Первая - Фонд Моя цель 2045 (Первая), 4428, SBDS",Парсинг,,https://investfunds.ru/funds/7001/
Облигации,Госбонды,Россия,SBFR,"Первая – Фонд Облигации с переменным купоном (Первая), 5972, SBFR",Парсинг,,https://investfunds.ru/funds/10113/
Облигации,Госбонды,Россия,SBGB,"Первая - Фонд Государственные облигации (Первая), 3629, SBGB",Парсинг,,https://investfunds.ru/funds/5393/
Сырье,Золото,Россия,SBGD,"Первая - Фонд Доступное золото (Первая), 5061, SBGD",Парсинг,,https://investfunds.ru/funds/8293/
Акции,Российские Акции,Россия,SBHI,"Первая - Фонд Халяльные инвестиции (Первая), 4678, SBHI",Парсинг,,https://investfunds.ru/funds/7517/
Облигации,Госбонды,Россия,SBLB,"Первая – Фонд Долгосрочные гособлигации (Первая), 6079, SBLB",Парсинг,,https://investfunds.ru/funds/10331/
Деньги,Рубли,Россия,SBMM,"Первая - Фонд Сберегательный (Первая), 4607, SBMM",Парсинг,,https://investfunds.ru/funds/7373/
Акции,Российские Акции,Россия,SBMX,"Первая - Фонд Топ Российских акций (Первая), 3555, SBMX",Парсинг,,https://investfunds.ru/funds/5247/
Смешанные,Сбалансированные,Россия,SBPS,"Первая – Фонд Моя цель 2035 (Первая), 4427, SBPS",Парсинг,,https://investfunds.ru/funds/6999/
Облигации,Госбонды,Россия,SBRB,"Первая - Фонд Корпоративные облигации (Первая), 3785, SBRB",Парсинг,,https://investfunds.ru/funds/5713/
Акции,Российские Акции,Россия,SBRI,"Первая - Фонд Ответственные инвестиции (Первая), 4162, SBRI",Парсинг,,https://investfunds.ru/funds/6469/
Смешанные,Сбалансированные,Россия,SBRS,"Первая – Фонд Осторожный смарт (Первая), 4426, SBRS",Парсинг,,https://investfunds.ru/funds/6997/
Акции,Российские Акции,Россия,SBSC,"Первая – Фонд Акции средней и малой капитализации (Первая), 5649, SBSC",Парсинг,,https://investfunds.ru/funds/9469/
Смешанные,Сбалансированные,Россия,SBWS,"Первая – Фонд Вечный портфель (Первая), 4429, SBWS",Парсинг,,https://investfunds.ru/funds/7003/
Облигации,Госбонды,Россия,TBEU,"Т-Капитал облигации Е (Т-Капитал), 4618, TBEU",Парсинг,,https://investfunds.ru/funds/7397/
Облигации,Госбонды,Россия,TBRU,"Т-Капитал Облигации (Т-Капитал), 4458, TBRU",Парсинг,,https://investfunds.ru/funds/7067/
